Epoch,Total Events,Max events per LP,Mean,Std Dev
0,129,2,1.29,0.498381218
1,237,5,1.267379679,0.798624544
2,49,5,0.213973799,0.531941511
3,535,11,2.018867925,1.412747244
4,71,3,0.31277533,0.527109968
5,111,3,0.466386555,0.672645424
6,7,1,0.040697674,0.198165804
7,11,1,0.063953488,0.24538443
8,321,9,1.834285714,1.373380521
9,19,1,0.096938776,0.296632063
10,23,2,0.115,0.349838441
11,5,1,0.02688172,0.162174271
12,6,1,0.032258065,0.177161579
13,39,3,0.215469613,0.508793153
14,387,8,1.897058824,1.333239758
15,28,2,0.145833333,0.382309506
16,37,2,0.185929648,0.472050133
17,6,1,0.033898305,0.181480812
18,6,1,0.033898305,0.181480812
19,23,2,0.134502924,0.358972658
20,48,2,0.277456647,0.542828943
21,3,1,0.019607843,0.139103721
22,3,1,0.019607843,0.139103721
23,2,1,0.013333333,0.115081918
24,1,1,0.006666667,0.081649658
25,348,10,2.188679245,1.489073331
26,31,3,0.136563877,0.380768435
27,45,3,0.190677966,0.489982594
28,3,1,0.014285714,0.118949606
29,3,1,0.014285714,0.118949606
30,40,2,0.193236715,0.419607603
31,61,2,0.289099526,0.540568171
32,1,1,0.005617978,0.074953169
33,1,1,0.005617978,0.074953169
34,3,1,0.016949153,0.129447088
35,4,1,0.02259887,0.149042484
36,58,4,0.329545455,0.720659871
37,1,1,0.005952381,0.077151675
38,1,1,0.005952381,0.077151675
39,1,1,0.005988024,0.077382323
40,433,9,2.327956989,1.457496231
41,19,1,0.097435897,0.297313729
42,25,2,0.126262626,0.375948441
43,22,1,0.121546961,0.327668251
44,30,2,0.161290323,0.42337952
45,1,1,0.00617284,0.07856742
46,1,1,0.00617284,0.07856742
47,1,1,0.00621118,0.078811041
48,1,1,0.00621118,0.078811041
49,16,2,0.1,0.358192528
50,27,2,0.166666667,0.46291005
51,3,1,0.01986755,0.14000946
52,3,1,0.01986755,0.14000946
53,1,1,0.006756757,0.082199494
54,435,8,2.589285714,1.485782349
55,23,2,0.107476636,0.339345112
56,27,2,0.123853211,0.381942424
57,1,1,0.004926108,0.070186241
58,1,1,0.004926108,0.070186241
59,23,2,0.113861386,0.348280696
60,27,2,0.132352941,0.393459274
61,2,1,0.010638298,0.102865974
62,2,1,0.010638298,0.102865974
63,4,1,0.021505376,0.145453224
64,4,1,0.021505376,0.145453224
65,30,4,0.164835165,0.531104057
66,44,4,0.235294118,0.603070365
67,2,1,0.01183432,0.108461409
68,2,1,0.01183432,0.108461409
69,4,1,0.023952096,0.153359795
70,4,1,0.023952096,0.153359795
71,25,3,0.152439024,0.437428517
72,1,1,0.006289308,0.079305159
73,1,1,0.006289308,0.079305159
74,1,1,0.006329114,0.079555728
75,484,9,2.719101124,1.687365908
76,13,1,0.063414634,0.24430383
77,19,2,0.091346154,0.335243967
78,1,1,0.005025126,0.070888121
79,1,1,0.005025126,0.070888121
80,18,2,0.090909091,0.32151005
81,18,2,0.090452261,0.320761872
82,1,1,0.005405405,0.073521462
83,1,1,0.005405405,0.073521462
84,1,1,0.005434783,0.073720978
85,1,1,0.005434783,0.073720978
86,35,3,0.191256831,0.515186998
87,47,3,0.247368421,0.58812627
88,1,1,0.006097561,0.078086881
89,1,1,0.006097561,0.078086881
90,1,1,0.006134969,0.078326045
91,1,1,0.006134969,0.078326045
92,2,1,0.012345679,0.110765508
93,2,1,0.012345679,0.110765508
94,23,3,0.142857143,0.44521263
95,1,1,0.006289308,0.079305159
96,1,1,0.006289308,0.079305159
97,32,3,0.2,0.535530067
98,1,1,0.006802721,0.08247861
99,1,1,0.006802721,0.08247861
100,1,1,0.006849315,0.082760589
101,1,1,0.006849315,0.082760589
102,352,12,2.256410256,1.838203172
103,4,1,0.023809524,0.152911111
104,4,1,0.023668639,0.15246634
105,5,1,0.03030303,0.171941653
106,5,1,0.03030303,0.171941653
107,1,1,0.006134969,0.078326045
108,1,1,0.006134969,0.078326045
109,1,1,0.00617284,0.07856742
110,1,1,0.00617284,0.07856742
111,5,1,0.031055901,0.174010066
112,9,2,0.055214724,0.277811859
113,1,1,0.006329114,0.079555728
114,1,1,0.006329114,0.079555728
115,1,1,0.006369427,0.079808688
116,1,1,0.006369427,0.079808688
117,16,2,0.102564103,0.324871929
118,24,2,0.150943396,0.423796572
119,1,1,0.006849315,0.082760589
120,1,1,0.006849315,0.082760589
121,1,1,0.006896552,0.08304548
122,1,1,0.006896552,0.08304548
123,1,1,0.006944444,0.083333333
124,1,1,0.006944444,0.083333333
125,1,1,0.006993007,0.083624201
126,1,1,0.006993007,0.083624201
127,13,2,0.091549296,0.334853193
128,365,8,2.225609756,1.326123644
129,7,2,0.037037037,0.215623055
130,7,2,0.037037037,0.215623055
131,1,1,0.005347594,0.073127242
132,1,1,0.005347594,0.073127242
133,18,1,0.096774194,0.296448022
134,26,2,0.136125654,0.40039936
135,4,1,0.022727273,0.149457895
136,4,1,0.022727273,0.149457895
137,13,2,0.075581395,0.286309874
