Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,5268,247792,2922,623,397.739968,47.037206,19792,4,8405,247792,2922,3025,81.914711,29.481499,1000,11
2,1,5295,247792,2916,605,409.573554,46.797356,19792,3,7112,247792,1460,3025,81.914711,34.841395,1000,14
3,1,5246,247792,2924,605,409.573554,47.234464,19792,4,6105,247792,977,3025,81.914711,40.588370,1000,22
4,1,5258,247792,2916,601,412.299501,47.126664,19792,4,5509,247792,734,3025,81.914711,44.979488,1000,16
5,1,5239,247792,2919,600,412.986667,47.297576,19792,4,5088,247792,587,3025,81.914711,48.701258,1000,22
6,1,5257,247792,2926,595,416.457143,47.135629,19792,4,4774,247792,490,3025,81.914711,51.904483,1000,22
7,1,5240,247792,2922,596,415.758389,47.288550,19792,4,4607,247792,420,3025,81.914711,53.785978,1000,23
8,1,5279,247792,2925,594,417.158249,46.939193,19792,4,4363,247792,368,3025,81.914711,56.793949,1000,27
9,1,5223,247792,2924,590,419.986441,47.442466,19792,4,4260,247792,328,3025,81.914711,58.167136,1000,29
10,1,5263,247792,2931,585,423.576068,47.081892,19792,4,4175,247792,295,3025,81.914711,59.351377,1000,33
15,1,5252,247792,2932,567,437.022928,47.180503,19792,4,3802,247792,198,3025,81.914711,65.174119,1000,46
20,1,5291,247792,2949,563,440.127886,46.832735,19792,5,3559,247792,149,3025,81.914711,69.624052,1000,50
25,1,5315,247792,2955,555,446.472072,46.621261,19792,4,3444,247792,120,3025,81.914711,71.948897,1000,57
30,1,5305,247792,2967,551,449.713249,46.709142,19792,4,3418,247792,101,3025,81.914711,72.496197,1000,64
35,1,5321,247792,2974,540,458.874074,46.568690,19792,4,3326,247792,87,3025,81.914711,74.501503,1000,70
40,1,5346,247792,2985,533,464.900563,46.350917,19792,4,3267,247792,76,3025,81.914711,75.846954,1000,73
45,1,5327,247792,2992,530,467.532075,46.516238,19792,4,3251,247792,68,3025,81.914711,76.220240,1000,81
50,1,5302,247792,3003,522,474.697318,46.735571,19792,3,3206,247792,62,3025,81.914711,77.290081,1000,93
