Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,107,4116,30,64,64.312500,137.200000,1904,10,196,4116,30,143,28.783217,137.200000,2000,20
2,1,121,4116,42,65,63.323077,98.000000,1904,10,204,4116,22,144,28.583333,187.090909,2000,35
3,1,132,4116,53,66,62.363636,77.660377,1904,9,206,4116,20,143,28.783217,205.800000,2000,38
4,1,142,4116,63,67,61.432836,65.333333,1904,9,202,4116,19,143,28.783217,216.631579,2000,35
5,1,149,4116,72,67,61.432836,57.166667,1904,9,204,4116,18,143,28.783217,228.666667,2000,37
6,1,149,4116,72,67,61.432836,57.166667,1904,9,205,4116,16,143,28.783217,257.250000,2000,40
7,1,149,4116,72,67,61.432836,57.166667,1904,9,205,4116,16,143,28.783217,257.250000,2000,40
8,1,149,4116,72,67,61.432836,57.166667,1904,9,205,4116,16,143,28.783217,257.250000,2000,40
9,1,149,4116,72,67,61.432836,57.166667,1904,9,205,4116,16,143,28.783217,257.250000,2000,40
10,1,149,4116,72,67,61.432836,57.166667,1904,9,205,4116,16,143,28.783217,257.250000,2000,40
15,1,149,4116,72,67,61.432836,57.166667,1904,9,205,4116,16,143,28.783217,257.250000,2000,40
20,1,149,4116,72,67,61.432836,57.166667,1904,9,205,4116,16,143,28.783217,257.250000,2000,40
25,1,149,4116,72,67,61.432836,57.166667,1904,9,205,4116,16,143,28.783217,257.250000,2000,40
30,1,149,4116,72,67,61.432836,57.166667,1904,9,205,4116,16,143,28.783217,257.250000,2000,40
35,1,149,4116,72,67,61.432836,57.166667,1904,9,205,4116,16,143,28.783217,257.250000,2000,40
40,1,149,4116,72,67,61.432836,57.166667,1904,9,205,4116,16,143,28.783217,257.250000,2000,40
45,1,149,4116,72,67,61.432836,57.166667,1904,9,205,4116,16,143,28.783217,257.250000,2000,40
50,1,149,4116,72,67,61.432836,57.166667,1904,9,205,4116,16,143,28.783217,257.250000,2000,40
