Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,74,7060,16,56,126.071429,441.250000,10503,14,633,7060,16,571,12.364273,441.250000,5000,160
2,1,81,7060,22,56,126.071429,320.909091,10503,14,632,7060,12,570,12.385965,588.333333,5000,162
3,1,87,7060,27,56,126.071429,261.481481,10503,14,632,7060,11,570,12.385965,641.818182,5000,319
4,1,87,7060,27,56,126.071429,261.481481,10503,14,631,7060,9,570,12.385965,784.444444,5000,322
5,1,87,7060,27,56,126.071429,261.481481,10503,14,631,7060,9,570,12.385965,784.444444,5000,322
6,1,87,7060,27,56,126.071429,261.481481,10503,14,631,7060,9,570,12.385965,784.444444,5000,322
7,1,87,7060,27,56,126.071429,261.481481,10503,14,631,7060,9,570,12.385965,784.444444,5000,322
8,1,87,7060,27,56,126.071429,261.481481,10503,14,631,7060,9,570,12.385965,784.444444,5000,322
9,1,87,7060,27,56,126.071429,261.481481,10503,14,631,7060,9,570,12.385965,784.444444,5000,322
10,1,87,7060,27,56,126.071429,261.481481,10503,14,631,7060,9,570,12.385965,784.444444,5000,322
15,1,87,7060,27,56,126.071429,261.481481,10503,14,631,7060,9,570,12.385965,784.444444,5000,322
20,1,87,7060,27,56,126.071429,261.481481,10503,14,631,7060,9,570,12.385965,784.444444,5000,322
25,1,87,7060,27,56,126.071429,261.481481,10503,14,631,7060,9,570,12.385965,784.444444,5000,322
30,1,87,7060,27,56,126.071429,261.481481,10503,14,631,7060,9,570,12.385965,784.444444,5000,322
35,1,87,7060,27,56,126.071429,261.481481,10503,14,631,7060,9,570,12.385965,784.444444,5000,322
40,1,87,7060,27,56,126.071429,261.481481,10503,14,631,7060,9,570,12.385965,784.444444,5000,322
45,1,87,7060,27,56,126.071429,261.481481,10503,14,631,7060,9,570,12.385965,784.444444,5000,322
50,1,87,7060,27,56,126.071429,261.481481,10503,14,631,7060,9,570,12.385965,784.444444,5000,322
