Link Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,3751,495738,1110,263,1884.935361,446.610811,19792,7,8681,495738,1110,331,1497.697885,446.610811,1000,25
2,3762,495738,1112,263,1884.935361,445.807554,19792,8,7966,495738,557,361,1373.235457,890.014363,1000,39
3,3728,495738,1113,263,1884.935361,445.407008,19792,6,7486,495738,372,350,1416.394286,1332.629032,1000,55
4,3748,495738,1116,263,1884.935361,444.209677,19792,7,7112,495738,280,366,1354.47541,1770.492857,1000,59
5,3729,495738,1119,263,1884.935361,443.018767,19792,7,6973,495738,225,373,1329.0563,2203.28,1000,73
6,3723,495738,1122,263,1884.935361,441.834225,19792,7,6816,495738,188,372,1332.629032,2636.904255,1000,67
7,3739,495738,1123,265,1870.709434,441.440784,19792,7,6649,495738,162,369,1343.463415,3060.111111,1000,75
8,3745,495738,1125,266,1863.676692,440.656,19792,6,6557,495738,142,372,1332.629032,3491.112676,1000,89
9,3774,495738,1128,269,1842.892193,439.484043,19792,7,6494,495738,126,369,1343.463415,3934.428571,1000,99
10,3754,495738,1130,266,1863.676692,438.706195,19792,7,6457,495738,114,383,1294.355091,4348.578947,1000,100
15,3774,495738,1143,263,1884.935361,433.716535,19792,7,6319,495738,77,405,1224.044444,6438.155844,1000,130
20,3764,495738,1154,268,1849.768657,429.582322,19792,7,6249,495738,59,367,1350.784741,8402.338983,1000,156
25,3802,495738,1168,269,1842.892193,424.433219,19792,7,6197,495738,48,366,1354.47541,10327.875,1000,204
30,3841,495738,1180,272,1822.566176,420.116949,19792,6,6202,495738,40,373,1329.0563,12393.45,1000,242
35,3829,495738,1194,271,1829.291513,415.190955,19792,7,6195,495738,35,429,1155.566434,14163.94286,1000,261
40,3878,495738,1209,272,1822.566176,410.039702,19792,7,6190,495738,31,429,1155.566434,15991.54839,1000,301
45,3886,495738,1223,272,1822.566176,405.345871,19792,8,6188,495738,28,429,1155.566434,17704.92857,1000,347
50,3912,495738,1239,272,1822.566176,400.11138,19792,7,6219,495738,26,508,975.862205,19066.84615,1000,353
