Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,7492,247652,5468,147,1684.707483,45.291149,19792,4,11983,247652,5468,280,884.471429,45.291149,1000,9
2,1,7535,247652,5482,147,1684.707483,45.175483,19792,4,9827,247652,2766,288,859.902778,89.534346,1000,16
3,1,7514,247652,5491,147,1684.707483,45.101439,19792,4,8415,247652,1856,293,845.228669,133.43319,1000,19
4,1,7573,247652,5506,147,1684.707483,44.978569,19792,4,7398,247652,1399,311,796.308682,177.020729,1000,20
5,1,7540,247652,5501,147,1684.707483,45.019451,19792,4,6765,247652,1122,325,762.006154,220.723708,1000,20
6,1,7582,247652,5510,147,1684.707483,44.945917,19792,4,6228,247652,940,312,793.75641,263.459574,1000,22
7,1,7528,247652,5508,147,1684.707483,44.962237,19792,4,5900,247652,805,289,856.927336,307.642236,1000,23
8,1,7505,247652,5496,147,1684.707483,45.060408,19792,4,5619,247652,705,360,687.922222,351.279433,1000,24
9,1,7522,247652,5494,147,1684.707483,45.076811,19792,4,5349,247652,626,304,814.644737,395.610224,1000,22
10,1,7482,247652,5497,147,1684.707483,45.05221,19792,4,5185,247652,566,312,793.75641,437.547703,1000,26
15,1,7549,247652,5507,146,1696.246575,44.970401,19792,4,4557,247652,378,311,796.308682,655.164021,1000,28
20,1,7481,247652,5511,146,1696.246575,44.937761,19792,4,4150,247652,285,306,809.320261,868.954386,1000,42
25,1,7538,247652,5506,146,1696.246575,44.978569,19792,4,3967,247652,229,335,739.259701,1081.449782,1000,39
30,1,7567,247652,5507,146,1696.246575,44.970401,19792,4,3783,247652,191,356,695.651685,1296.60733,1000,50
35,1,7493,247652,5512,148,1673.324324,44.929608,19792,4,3647,247652,164,321,771.501558,1510.073171,1000,44
40,1,7460,247652,5512,148,1673.324324,44.929608,19792,4,3567,247652,144,367,674.80109,1719.805556,1000,50
45,1,7592,247652,5533,146,1696.246575,44.759082,19792,4,3517,247652,129,312,793.75641,1919.782946,1000,57
50,1,7536,247652,5515,146,1696.246575,44.905168,19792,4,3461,247652,116,331,748.193353,2134.931034,1000,61
