Epoch,Total Events,Max events per LP,Min events per LP,Mean,Std Dev,Fifty,Seventy five,Total LP
0,489,10,0,4.74757281553398,2.5310559162172743,33,56,1000
1,1491,42,0,3.7842639593908616,3.9849150787188763,74,149,1000
2,2251,37,0,4.345559845559846,4.69806840995454,96,208,1000
3,2351,32,0,4.469581749049431,3.943653927631506,111,226,1000
4,2306,21,0,4.804166666666665,4.5671952871029955,89,175,1000
5,2717,55,0,5.136105860113424,5.675939446015348,93,190,1000
6,2992,43,0,5.390990990990991,5.600437540113533,105,211,1000
7,2734,28,0,5.277992277992272,4.823774357910316,102,200,1000
8,2550,37,0,4.894433781190021,5.074671997351433,91,182,1000
9,2724,40,0,5.110694183864916,5.012103591501262,103,198,1000
10,2690,27,0,4.981481481481478,4.870458222055892,102,198,1000
11,2576,25,0,4.761552680221811,4.449352906707153,103,205,1000
12,2551,44,0,5.122489959839352,5.338732868080204,89,179,1000
13,2518,33,0,4.946954813359528,4.7350194313931455,97,189,1000
14,2487,35,0,4.6226765799256535,4.88001346002908,97,207,1000
15,2412,25,0,4.656370656370656,4.243286648336366,100,207,1000
16,2342,41,0,4.637623762376239,5.015983411095633,89,177,1000
17,2352,29,0,4.575875486381326,4.561372877366691,92,188,1000
18,2606,30,0,4.772893772893772,4.879434248270031,97,205,1000
19,2684,35,0,4.93382352941177,5.236509044614132,94,200,1000
20,2628,37,0,5.102912621359224,4.997965662230245,96,188,1000
21,2625,41,0,4.915730337078654,4.928610021614285,101,200,1000
22,2348,22,0,4.677290836653387,4.263225544934464,98,198,1000
23,2070,29,0,4.385593220338987,4.169401743655364,90,182,1000
24,2027,22,0,4.162217659137579,3.900560475957412,93,183,1000
25,2170,41,0,4.205426356589149,4.473921154588971,96,196,1000
26,2525,29,0,5.049999999999998,4.9038347433799965,91,181,1000
27,2595,45,0,4.609236234458253,5.058383684640133,101,211,1000
28,2573,28,0,4.738489871086556,4.496998909419243,103,210,1000
29,2846,42,0,5.359698681732575,5.171820881448883,101,193,1000
30,2726,47,0,4.876565295169948,4.857555731010061,110,216,1000
31,2491,33,0,4.4402852049910875,4.470188865131029,102,211,1000
32,2240,31,0,4.462151394422308,4.064544342428178,100,202,1000
33,2122,30,0,4.486257928118393,4.495327300100301,86,166,1000
34,2324,44,0,4.723577235772358,4.735876527619521,95,184,1000
35,2449,33,0,4.5351851851851785,4.815006590115935,98,197,1000
36,2231,34,0,4.162313432835818,4.062336405066838,103,210,1000
37,2154,29,0,4.3780487804878065,4.200107390448722,92,182,1000
38,2346,31,0,4.426415094339623,4.507425125727978,98,203,1000
39,2188,39,0,4.315581854043393,4.346982712443055,98,194,1000
40,1964,31,0,4.16985138004246,3.9200553322181997,93,184,1000
41,1939,16,0,4.280353200883002,3.7171556185707724,94,177,1000
42,2067,25,0,4.2356557377049215,3.8583490607602244,100,196,1000
43,2095,29,0,4.198396793587172,4.00034102899525,95,198,1000
44,2232,39,0,4.455089820359284,4.222378363187766,98,198,1000
45,2431,26,0,5.1286919831223665,4.906558106287907,88,172,1000
46,2579,36,0,4.847744360902255,4.828249282714405,101,197,1000
47,2887,40,0,5.192446043165467,5.280323542056409,101,205,1000
48,2800,39,0,5.045045045045045,4.888997792116982,103,216,1000
49,2360,36,0,4.876033057851236,4.799620840673339,90,175,1000
50,2273,32,0,4.601214574898789,4.4059795417848795,98,189,1000
51,2330,44,0,4.568627450980391,4.6180431220851,93,187,1000
52,2531,48,0,4.802656546489563,5.13422058994606,93,198,1000
53,2577,37,0,4.862264150943396,4.714724809001084,102,201,1000
54,2405,43,0,4.453703703703703,4.846788541903868,97,197,1000
55,2405,41,0,4.495327102803738,4.2891157251425165,105,208,1000
56,2164,27,0,4.536687631027255,4.23089079323982,95,186,1000
57,2075,24,0,4.331941544885176,4.101285974048545,91,175,1000
58,2254,43,0,4.481113320079521,4.65194355487366,90,192,1000
59,2594,38,0,4.998073217726398,4.978137157832879,96,185,1000
60,2973,44,0,5.395644283121596,5.4618927032967575,100,197,1000
61,3146,53,0,5.578014184397161,5.9479039960739515,101,201,1000
62,2909,39,0,5.279491833030856,5.171417645923551,107,217,1000
63,2420,32,0,4.708171206225682,4.663370950053704,93,191,1000
64,2159,21,0,4.5073068893528205,4.234181594831146,90,185,1000
