Epoch,Total Events,Max events per LP,Min events per LP,Mean,Std Dev,Fifty,Seventy five,Total LP
0,107,1,0,0.05895316804407723,0.2356019420406392,54,81,19792
1,10,1,0,0.005509641873278231,0.0740425976997528,6,8,19792
2,22,1,0,0.012121212121212109,0.109457249092533,12,17,19792
3,32,2,0,0.017630853994490336,0.13576483631076014,16,24,19792
4,17,1,0,0.00936639118457299,0.09635235819304981,9,13,19792
5,31,2,0,0.01707988980716252,0.13379072382525525,15,23,19792
6,8,1,0,0.004407713498622589,0.06626239266260471,5,7,19792
7,6,1,0,0.003305785123966939,0.05741666358805031,4,5,19792
8,46,1,0,0.025344352617079922,0.15721206644724214,24,35,19792
9,12,1,0,0.006611570247933891,0.08106465343074046,7,10,19792
10,7,1,0,0.003856749311294766,0.06199994111576024,4,6,19792
11,21,1,0,0.011570247933884312,0.10697047164761886,11,16,19792
12,27,1,0,0.014876033057851247,0.12109011266191497,14,21,19792
13,15,1,0,0.008264462809917356,0.09055760456876169,8,12,19792
14,18,1,0,0.009917355371900837,0.09911818367377498,10,14,19792
15,36,1,0,0.01983471074380165,0.13947047126790255,19,28,19792
16,13,1,0,0.0071625344352617025,0.08435136471964769,7,10,19792
17,17,1,0,0.009366391184573008,0.09635235819304981,9,13,19792
18,13,1,0,0.007162534435261703,0.08435136471964787,7,10,19792
19,24,1,0,0.013223140495867768,0.11426058880650725,13,19,19792
20,20,1,0,0.011019283746556465,0.10442158192808762,11,16,19792
21,12,1,0,0.00661157024793388,0.08106465343074055,7,10,19792
22,28,1,0,0.015426997245178998,0.12327764684772567,15,22,19792
23,14,2,0,0.007713498622589538,0.0935989091760349,7,10,19792
24,14,1,0,0.007713498622589538,0.08751125622757944,8,11,19792
25,11,1,0,0.006060606060606056,0.07763501712414463,6,9,19792
26,28,1,0,0.015426997245179043,0.12327764684772557,15,22,19792
27,18,1,0,0.009917355371900834,0.09911818367377498,10,14,19792
28,18,1,0,0.009917355371900815,0.09911818367377503,10,14,19792
29,8,1,0,0.004407713498622587,0.06626239266260475,5,7,19792
30,26,1,0,0.014325068870523426,0.11885977073374726,14,20,19792
31,19,2,0,0.010468319559228643,0.10708398626718313,9,14,19792
32,8,1,0,0.004407713498622589,0.06626239266260472,5,7,19792
33,10,1,0,0.0055096418732782275,0.07404259769975295,6,8,19792
34,8,1,0,0.004407713498622589,0.06626239266260471,5,7,19792
35,21,1,0,0.011570247933884293,0.10697047164761879,11,16,19792
36,11,1,0,0.0060606060606060675,0.07763501712414458,6,9,19792
37,9,1,0,0.004958677685950411,0.07026243097580512,5,7,19792
38,15,2,0,0.008264462809917356,0.10200858498215405,6,10,19792
39,49,2,0,0.026997245179063344,0.1654853790732109,24,36,19792
40,20,1,0,0.011019283746556481,0.10442158192808762,11,16,19792
41,43,2,0,0.023691460055096442,0.15921054413459343,20,31,19792
42,21,1,0,0.011570247933884312,0.10697047164761893,11,16,19792
43,29,1,0,0.015977961432506873,0.12542461314427522,15,22,19792
44,9,1,0,0.0049586776859504135,0.07026243097580517,5,7,19792
45,37,1,0,0.020385674931129492,0.141354547375378,19,28,19792
46,34,2,0,0.018732782369146005,0.13962282907466908,17,25,19792
47,17,2,0,0.009366391184572975,0.10718604663943365,7,11,19792
48,28,1,0,0.01542699724517905,0.12327764684772596,15,22,19792
49,24,1,0,0.01322314049586776,0.11426058880650727,13,19,19792
50,130,2,0,0.07096069868995636,0.26104766150750935,64,96,19792
51,152,2,0,0.08137044967880083,0.281201503965139,73,111,19792
52,41,2,0,0.02185501066098084,0.14985138337770912,20,30,19792
53,92,2,0,0.04872881355932205,0.22732861332885315,42,65,19792
54,76,2,0,0.03991596638655458,0.2011088370713694,37,56,19792
55,78,2,0,0.04077365394668056,0.20044361756950746,39,58,19792
56,55,1,0,0.02857142857142855,0.1666419148039526,28,42,19792
57,42,1,0,0.021772939346811848,0.1459791957613896,22,32,19792
58,59,1,0,0.0305225038799793,0.17206451356302893,30,45,19792
59,84,1,0,0.043143297380585484,0.2032318061218347,43,64,19792
60,28,1,0,0.014344262295081948,0.11893591229346707,15,22,19792
61,36,1,0,0.018404907975460186,0.13444481523727855,19,28,19792
62,49,2,0,0.024923702950152588,0.1591624684930952,24,36,19792
63,78,2,0,0.03955375253549696,0.20009486246248748,38,57,19792
64,68,1,0,0.034343434343434356,0.18215575972428383,35,52,19792
65,62,1,0,0.031124497991967776,0.17369775374396657,32,47,19792
66,61,1,0,0.03045431852221667,0.171876704888676,31,46,19792
67,49,3,0,0.024378109452736305,0.16365273094224922,23,35,19792
68,46,1,0,0.0228287841191067,0.1493944678231007,24,35,19792
69,74,2,0,0.0365793376173999,0.19038865062550123,37,55,19792
70,62,2,0,0.030526834071885802,0.1831677153985032,28,43,19792
71,45,1,0,0.02208047105004907,0.14698137366213146,23,34,19792
72,48,1,0,0.023403217942467098,0.15121724888507773,25,37,19792
73,58,2,0,0.028210116731517517,0.17420492062402068,27,41,19792
74,45,2,0,0.021823472356935016,0.14942546243151236,22,33,19792
75,53,3,0,0.02562862669245646,0.17268992655361026,23,36,19792
76,54,2,0,0.025999037072701042,0.1651122873575797,26,39,19792
77,77,2,0,0.03687739463601528,0.1910308461847757,38,57,19792
78,41,2,0,0.019617224880382762,0.1421231570039719,20,30,19792
79,52,1,0,0.02483285577841451,0.15565267468289762,27,40,19792
80,69,2,0,0.03282588011417695,0.18348653377868365,33,50,19792
81,58,2,0,0.027462121212121222,0.1691609927925646,28,42,19792
82,43,1,0,0.020302171860245556,0.14106519431037562,22,33,19792
83,35,1,0,0.01651722510618216,0.12748363060554851,18,27,19792
84,36,2,0,0.016957136128120585,0.13274017604042873,18,27,19792
85,44,1,0,0.020657276995305184,0.14226755173363673,23,34,19792
86,35,1,0,0.016362786348761097,0.12689591662694205,18,27,19792
87,35,2,0,0.01632462686567162,0.13391104864771525,16,25,19792
88,51,2,0,0.023731968357375528,0.16116092679899313,23,36,19792
89,73,2,0,0.03389043639740013,0.1885308764655252,34,52,19792
90,81,2,0,0.03734439834024896,0.19206479502075618,40,60,19792
91,87,2,0,0.0400183992640295,0.20068726746051485,42,64,19792
92,82,2,0,0.037562986715529136,0.19494039500013247,40,60,19792
93,87,1,0,0.03961748633879783,0.19510324197444906,44,66,19792
94,53,2,0,0.024079963652885047,0.15626865259778083,26,39,19792
95,68,2,0,0.030811055731762637,0.18054120337266355,32,49,19792
96,82,2,0,0.036887089518668446,0.1908992159434556,41,61,19792
97,68,2,0,0.03042505592841166,0.17943896476403873,32,49,19792
98,61,2,0,0.027207850133809063,0.1681199306601019,29,44,19792
99,62,2,0,0.027580071174377222,0.17176022086048903,29,44,19792
100,72,2,0,0.03190075321222867,0.17827874044497097,36,54,19792
101,191,2,0,0.08391915641476276,0.28667969730355397,90,138,19792
102,120,2,0,0.0534521158129176,0.23467820925575406,56,86,19792
103,96,2,0,0.04266666666666668,0.20433714370378436,48,72,19792
104,130,2,0,0.057675244010647816,0.24067354285276452,62,94,19792
105,100,2,0,0.0442869796279894,0.2121386155760444,48,73,19792
106,112,3,0,0.04953560371517026,0.22893753484331306,52,80,19792
107,84,2,0,0.03718459495351934,0.19158156493973655,42,63,19792
108,52,2,0,0.022947925860547242,0.1526899466357989,26,39,19792
109,103,1,0,0.045414462081128745,0.20825732107219952,52,78,19792
110,78,1,0,0.03446752098983644,0.18246704747472495,40,59,19792
111,59,2,0,0.02607158638974812,0.16213345574739585,29,44,19792
112,55,2,0,0.02433628318584074,0.16251332825754666,25,39,19792
113,90,2,0,0.039770216526734424,0.1999344283673853,44,66,19792
114,102,2,0,0.04487461504619447,0.21335555738429696,49,74,19792
115,78,1,0,0.034195528277071466,0.18177095283841274,40,59,19792
116,82,2,0,0.035996488147497785,0.1932641373284161,39,59,19792
117,72,3,0,0.031648351648351655,0.18247940412369798,35,53,19792
118,80,2,0,0.03516483516483513,0.1866084057373258,40,60,19792
119,86,2,0,0.03778558875219684,0.1952743230953739,42,63,19792
120,110,2,0,0.048161120840630574,0.2182058373007476,54,81,19792
121,66,2,0,0.028871391076115555,0.17007462410138724,33,49,19792
122,60,1,0,0.026315789473684213,0.16010781337910054,31,46,19792
123,62,2,0,0.027228809837505506,0.16546230408454887,31,46,19792
124,72,1,0,0.03169014084507046,0.17521240787344805,37,55,19792
125,72,2,0,0.03167619885613733,0.18731718045226753,32,50,19792
126,71,2,0,0.031195079086116056,0.17886719167329895,34,52,19792
127,99,3,0,0.04357394366197193,0.21264120811700782,47,72,19792
128,74,2,0,0.03258476442095997,0.18004983088127013,37,55,19792
129,69,1,0,0.03040987219039237,0.17175014513529843,35,52,19792
130,89,2,0,0.03908651734738701,0.1983248165141695,43,65,19792
131,111,3,0,0.04859894921190901,0.2326837055011129,48,76,19792
132,100,2,0,0.04384042086804034,0.2090244234797713,49,74,19792
133,51,2,0,0.02236842105263161,0.15084842772363904,25,38,19792
134,75,2,0,0.03277972027972031,0.18294285891476056,36,55,19792
135,59,2,0,0.025764192139737994,0.16653106672143625,27,42,19792
136,56,1,0,0.024475524475524434,0.15455391700516669,29,43,19792
137,71,2,0,0.031113058720420698,0.1786389342864136,34,52,19792
138,68,2,0,0.02982456140350876,0.17270011930705526,34,51,19792
