Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,5836,396484,2729,213,1861.427230,145.285453,19792,5,10557,396484,2729,286,1386.307692,145.285453,1000,12
2,1,5851,396484,2730,213,1861.427230,145.232234,19792,5,9033,396484,1366,288,1376.680556,290.251830,1000,17
3,1,5838,396484,2730,213,1861.427230,145.232234,19792,5,8005,396484,911,263,1507.543726,435.218441,1000,22
4,1,5866,396484,2733,217,1827.115207,145.072814,19792,5,7357,396484,684,318,1246.805031,579.654971,1000,24
5,1,5873,396484,2736,213,1861.427230,144.913743,19792,5,6970,396484,548,357,1110.599440,723.510949,1000,25
6,1,5881,396484,2739,213,1861.427230,144.755020,19792,4,6680,396484,457,334,1187.077844,867.579869,1000,32
7,1,5856,396484,2737,213,1861.427230,144.860796,19792,5,6427,396484,392,312,1270.782051,1011.438776,1000,34
8,1,5842,396484,2740,213,1861.427230,144.702190,19792,5,6293,396484,343,289,1371.916955,1155.930029,1000,40
9,1,5882,396484,2745,213,1861.427230,144.438616,19792,4,6197,396484,306,335,1183.534328,1295.699346,1000,40
10,1,5865,396484,2750,213,1861.427230,144.176000,19792,5,6056,396484,276,376,1054.478723,1436.536232,1000,41
15,1,5886,396484,2758,213,1861.427230,143.757796,19792,4,5657,396484,185,305,1299.947541,2143.156757,1000,52
20,1,5856,396484,2774,214,1852.728972,142.928623,19792,5,5411,396484,140,330,1201.466667,2832.028571,1000,73
25,1,5907,396484,2780,215,1844.111628,142.620144,19792,5,5206,396484,112,325,1219.950769,3540.035714,1000,72
30,1,5914,396484,2791,215,1844.111628,142.058044,19792,4,5208,396484,94,307,1291.478827,4217.914894,1000,81
35,1,5934,396484,2803,216,1835.574074,141.449875,19792,5,5131,396484,81,330,1201.466667,4894.864198,1000,100
40,1,5929,396484,2812,216,1835.574074,140.997155,19792,5,5083,396484,72,320,1239.012500,5506.722222,1000,107
45,1,5978,396484,2826,216,1835.574074,140.298655,19792,6,5061,396484,64,331,1197.836858,6195.062500,1000,120
50,1,5963,396484,2834,216,1835.574074,139.902611,19792,5,5047,396484,58,367,1080.337875,6835.931034,1000,128
